No.,Category,Name,Importance,Discrimination Flag,In-Category Weighting,Overall Weighting of Question,Description,Good,Bad,Question,Explanation/Ground truth,Conditional score flag,Conditional applicability note,,,,,,,,,,,,,,,,,,,,
74,Formatting,Page breaks set,3 = not absolutely crucial,FALSE,1.14%,0.11%,"Page breaks should be configured so that each tab prints legibly as PDF or hard copy without splitting tables, sections, or key content awkwardly across pages.",Page breaks are set so that tabs print legibly without splitting tables or sections across pages.,Page breaks are not set or are poorly placed; tables or sections split awkwardly across pages when printed.,Are page breaks configured so tabs print legibly without awkward content splits?,"Poor page breaks split tables or sections mid-way, making printed or PDF output difficult to read. Properly configured page breaks ensure the model is share-ready as hard copy or PDF.",TRUE,"Applies: cases whose deliverable is meant to be read away from Excel - a board or committee pack, an investment memo, a client-facing summary, an exhibit, or any brief asking for a printable or PDF output. Where it applies, judge it on the sheets a reader would actually print (cover, summary, statements, outputs), not on every tab of the workbook. N/A: cases whose deliverable is the working file itself - an answer tab to be filled in, a computational schedule, or any build whose calculation sheets run to dozens or hundreds of period columns, where a print area on the model tabs carries no quality signal and would not be set by a competent modeler. How to tell from the starting file: look for any instruction to present, print, export, circulate or PDF something outside the workbook or the existence of a summary (rather the ask for it). If the brief only asks for a model and a set of answers, mark N/A.",,,,,,,,,,73,88.12%,0.40%,,,,,,,,
75,Formatting,File extension (.xlsx),2 = important,TRUE,0.80%,0.08%,"The workbook should be saved in a standard Excel format: .xlsx, or .xlsm where VBA/macros are present.",The workbook is saved as .xlsx (.xlsm when VBA/Macros are present).,"The workbook is saved in a legacy or non-standard format (e.g., .xls, .csv, or an export from another spreadsheet application).","Is the workbook saved in a standard Excel format (.xlsx, or .xlsm where macros are present)?","Modern Excel formats are the industry norm: .xlsx for standard workbooks, .xlsm where macros are required. Legacy formats such as .xls impose row and feature limits and signal an out-of-date build.",FALSE,N/A,,,,,,,,,,74,88.53%,0.40%,,,,,,,,
76,Formulas,Use standard formula set,2 = important,FALSE,3.45%,0.41%,"The model should avoid non-standard, uncommon formulas (e.g., FILTERXML, WEBSERVICE, Recursive LAMBDA) that are atypical in financial modeling.",Only standard financial-modeling formulas are used.,"Uncommon or non-standard formulas (e.g., FILTERXML, WEBSERVICE, recursive LAMBDA) are present where standard alternatives exist.",Does the model avoid any non-standard formula usage (like FILTERXML)?,"Financial modeling relies on a well-known formula set (SUM, IF, INDEX/MATCH, XLOOKUP, SUMIFS, SUMPRODUCT, MIN/MAX, ROUND, and similar). Non-standard formulas such as FILTERXML, WEBSERVICE, or recursive LAMBDA reduce portability across Excel versions, confuse reviewers unfamiliar with them, and are a common pattern in AI-generated models. If an uncommon formula is used, there should be a clear justification and a comment explaining its purpose.",FALSE,N/A,,,,,,,,,,75,88.93%,0.40%,,,,,,,,
77,Formulas,Modern formula usage,2 = important,FALSE,3.45%,0.41%,"Modern functions should be preferred where they improve robustness or readability and where backward compatibility is not a constraint: XLOOKUP over VLOOKUP, IFS or SWITCH over deeply nested IFs, and LET for readable intermediate variables. INDEX/XMATCH remains a fully acceptable professional standard and is not penalized. Unless the case context states otherwise, assume the client uses a current version of Excel; where an older version must be supported, the legacy equivalents are acceptable, and the trade-off should be documented.","Modern functions (XLOOKUP, XMATCH, IFS, SWITCH, LET) are used where they improve robustness and readability - or a legacy equivalent is used for a documented compatibility or performance reason, for example INDEX/XMATCH or nested IFs in a very large model, where they compute more efficiently than IFS or SWITCH (in that case efficiency > auditability).","Fragile legacy constructs are used where a modern equivalent is clearly preferable and no compatibility or performance reason is given - most commonly VLOOKUP with a hardcoded column index, or IFs nested many levels deep.","Does the model use modern functions where they are preferable (e.g., XLOOKUP instead of VLOOKUP), or document why a legacy equivalent was chosen?","Modern replacements (XLOOKUP for VLOOKUP, IFS/SWITCH for nested IFs, LET for readability) are generally more robust and easier to read, and they avoid the fragility of a hardcoded column index. They are not universally better: INDEX/XMATCH is a long-standing professional standard that remains fully acceptable, and in very large models nested IF can compute more efficiently than IFS or SWITCH, so a documented performance-driven choice is legitimate. Note that XLOOKUP, XMATCH, LET, and LAMBDA require Microsoft 365 or Excel 2021+; where an older version must be supported, the legacy equivalents are acceptable.",FALSE,N/A,,,,,,,,,,76,89.28%,0.35%,,,,,,,,
78,Formulas,Avoid volatile functions,1 = highly important,FALSE,8.62%,1.03%,"Volatile functions (INDIRECT, OFFSET, TODAY, NOW, RAND, RANDBETWEEN, INFO, CELL) recalculate on every change and should be avoided where possible.","Volatile functions are avoided except where clearly justified (e.g., date-stamping).",Volatile functions are present where avoidable.,Does the model avoid the usage of volatile functions (i.e. INDIRECT and OFFSET)?,"Volatile functions (INDIRECT, OFFSET, TODAY, NOW, RAND, RANDBETWEEN, INFO, CELL) recalc on every change and slow the model down. Use INDEX as a non-volatile alternative to OFFSET, and static date values instead of TODAY/NOW. It is industry practice to avoid them.",FALSE,N/A,,,,,,,,,,77,89.56%,0.28%,,,,,,,,
79,Formulas,No hardcoded numbers in formulas,0 = ultra important,FALSE,20.69%,2.48%,"Formulas must reference assumption cells rather than embedding constants (e.g., =B5*0.21). The only accepted exceptions are purely mathematical constants (12 months, 365 days, 100 for percentage conversion) and technical remnants that are not true inputs.",Formulas reference assumption cells; no inputs are buried as constants inside formulas.,"Formulas contain hardcoded numbers (e.g., =B5*0.21) that should be assumption references.",Are formulas free of hardcoded numbers that should be assumption references?,"Hardcoded numbers inside formulas (e.g., =B5*0.21) are invisible to the reader and make the model inflexible. It is standard practice to reference assumption cells instead. Accepted exceptions are purely mathematical constants (e.g., 12 for months in a year, 365 for days, 100 for percentage conversion) and technical remnants that are not actual inputs.",FALSE,N/A,,,,,,,,,,78,89.83%,0.28%,,,,,,,,
80,Formulas,"Simple, stepwise formulas",1 = highly important,FALSE,8.62%,1.03%,"Formulas should be simple, readable, and broken into logical steps using helper columns, helper rows, or LET. As a practical guideline, a formula nesting more than about three functions deep ('3-clause rule') should be split. Some complexity is acceptable where splitting would bloat the model structure.",Complex logic is broken into steps via helper rows/columns or LET. No formula nests more than about ~three functions deep without justification.,Monolithic mega-formulas obscure logic. No helper columns when clearly needed. Difficult to understand or debug.,"Are formulas kept simple, readable, and broken into logical steps, with any remaining complexity justified by keeping the model structure lean?","Short formulas broken into steps are auditable and maintainable; long mega-formulas are a common source of hidden errors, because the reviewer cannot see the intermediate results that would reveal a mistake. A practical guideline is to split any formula nesting more than about three functions deep ('3-clause rule'). Some complexity is defensible where splitting would add so many helper rows that the model becomes harder to follow overall - the two considerations have to be balanced.",FALSE,N/A,,,,,,,,,,79,90.11%,0.28%,,,,,,,,
81,Formulas,Consistent formulas across blocks,0 = ultra important,FALSE,20.69%,2.48%,Formulas across a row (the timeline) and across similar blocks should be identical so that copy-paste works and exceptions are immediately obvious.,Formulas are consistent across the timeline and across similar blocks.,Formulas vary unexpectedly across a row or between comparable blocks.,Are formulas consistent across formula blocks and across the model timeline?,"Formulas across a row (across the timeline) and across comparable blocks should be identical, so a formula can be copied along the timeline safely and any genuine exception stands out immediately. A single edited cell mid-row is one of the most common silent errors in financial models, because nothing about the output looks wrong.",FALSE,N/A,,,,,,,,,,80,90.39%,0.28%,,,,,,,,
82,Formulas,Inconsistent formulas flagged,1 = highly important,FALSE,8.62%,1.03%,"Where formulas must be inconsistent (e.g., the first period of a roll-forward), the cells should be visually flagged (distinctive fill, exception-marker column, cell comment, or error-check flag) so reviewers know the break is intentional.",Intentional formula breaks are clearly flagged visually.,"Formula inconsistencies are unmarked, leaving reviewers unable to distinguish intentional exceptions from errors.",Are inconsistent formulas marked clearly and visually?,"Where formulas must be inconsistent (e.g., the first period of a roll-forward), the cells should be marked visually so reviewers and readers know the break is intentional. Common techniques include a distinctive fill color, a dedicated exception-marker column, a cell comment, or flagging the row on the error-check sheet. The method matters less than making the inconsistency impossible to miss.",FALSE,N/A,,,,,,,,,,81,90.66%,0.28%,,,,,,,,
83,Formulas,Correct reference anchoring,0 = ultra important,FALSE,20.69%,2.48%,"Absolute, relative, and mixed references ($) must be anchored correctly. Incorrect anchoring silently pulls wrong data when formulas are copied, without producing a visible Excel error.",References are anchored correctly; copied formulas pull the intended cells.,References are mis-anchored; copying formulas silently pulls wrong data.,"Are absolute, relative, and mixed cell references ($ signs) used correctly in formulas?","Incorrect anchoring is one of the most common formula errors, especially when formulas are copied across rows or down columns. A misplaced or missing $ sign can silently pull the wrong data without producing a visible Excel error - making it one of the hardest bugs to catch. Always verify that absolute references lock to the intended assumption cell, that relative references shift correctly when dragged across the timeline, and that mixed references (e.g., $B5 vs. B$5) anchor the correct axis for the copy direction.",FALSE,N/A,,,,,,,,,,82,90.94%,0.28%,,,,,,,,
84,Formulas,Consistent reference anchoring,2 = important,FALSE,3.45%,0.41%,Anchoring conventions ($) should be applied consistently across comparable formulas/blocks.,Anchoring is consistent across comparable formulas/blocks.,Anchoring conventions are inconsistent across comparable formulas or blocks.,"Are absolute, relative, and mixed cell references ($ signs) used consistently in formulas?","Anchoring conventions should be uniform across comparable formulas so that a reviewer can trust the pattern rather than auditing every cell individually. If one revenue-line formula uses $B$3 to anchor a growth rate while an identical cost-line formula uses B$3 or B3 for the same type of reference, the inconsistency forces cell-by-cell checking and increases the risk that a future copy-paste silently breaks the logic. Consistent anchoring across similar formula blocks is what makes a model safely extensible.",FALSE,N/A,,,,,,,,,,83,91.22%,0.28%,,,,,,,,
85,Formulas,Avoid whole-column references,3 = not absolutely crucial,FALSE,1.72%,0.21%,"Whole-column/row references (e.g., SUM(A:A)) force Excel to evaluate up to a million rows per formula. Use defined ranges, TrimRef (e.g., A:.A), table columns, or names instead.",Defined or structured ranges are used; no whole-column/row references.,"Whole-column/row references (e.g., SUM(A:A)) are present.",Are full-column / whole-row references (e.g. SUM(A:A)) avoided?,"Whole-column references force Excel to evaluate up to a million rows per formula, bloating recalc time and risking accidental inclusion of stray data below the intended range. Use explicitly bounded ranges (e.g., A2:A500), structured table column references, or defined names instead.",FALSE,N/A,,,,,,,,,,84,91.50%,0.28%,,,,,,,,
86,Model Outputs & Executive Summary,Output reasonableness check,2 = important,FALSE,20.00%,0.80%,"Outputs should pass a directional sense check against intuition, industry benchmarks, comparable companies or transactions, or third-party estimates. The metrics to check depend on the model type - growth and margins for an operating model, IRR and money multiple for a transaction model, debt service cover for project finance, payback and NPV for a capex case, implied multiples for a valuation. The sense check is part of the model, not a separate exercise.","The model includes an explicit sense-check section comparing its key outputs to benchmarks, comparables, or third-party estimates, using metrics appropriate to the model type.",Outputs are implausible or inconsistent with benchmarks - or no sense check is present.,"Do the results make sense directionally, and does the model include an explicit sense check against benchmarks or comparables?","A directional sense check - do the outputs match intuition, industry benchmarks, or external estimates? - is one of the most effective validation steps available and catches many errors that formula-level review misses. Which metrics to cross-reference depends on the model type: revenue growth and margins, returns such as ROIC/ROE/IRR, leverage and cover ratios, and implied valuation multiples against comparables.",FALSE,N/A,,,,,,,,,,85,91.77%,0.28%,,,,,,,,
87,Model Outputs & Executive Summary,Key ratios & outputs section,2 = important,FALSE,20.00%,0.80%,"The model should include a key-ratios section computing the output metrics relevant to its purpose - for example margins, returns, leverage and cover ratios, growth rates, valuation multiples, or transaction returns.",A dedicated section computes the key ratios and output metrics relevant to the model's purpose.,No key-ratios or output metrics section.,Does the model include a section calculating the key ratios and output values relevant to its purpose?,"A key-ratios and outputs section translates the model into the metrics its audience actually uses to make a decision. Which ratios matter depends on the model type - margins and growth for an operating plan, returns and leverage for a transaction model, cover ratios for a financing case.",FALSE,N/A,,,,,,,,,,86,92.05%,0.28%,,,,,,,,
88,Model Outputs & Executive Summary,Cross-scenario summary,3 = not absolutely crucial,FALSE,10.00%,0.40%,A summary should display results across all scenarios/cases in one place. A model that deliberately runs a single case satisfies this item by default.,A summary displays results across all cases in one view - or the model deliberately runs a single case.,No cross-case summary; results are buried in separate sheets.,Does the model include a summary displaying results for all cases (or does it deliberately run a single case)?,"A summary displaying results across all cases side by side is what most readers will actually look at, and it is the only place the sensitivity of the answer to the case becomes visible. Without it, the model's insights stay buried across separate sheets.",TRUE,"Applies: cases asking for more than one case, scenario, sensitivity or variant - base, upside and downside, 'what if X', a sensitivity table, two valuation methods to be compared side by side, or a switch that changes the whole run. N/A: cases that deliberately run one set of assumptions, where the brief neither asks for nor implies alternatives. How to tell from the starting file: search the instructions and questions tabs for the words scenario, case, sensitivity, upside or downside, or for a question asking for the result under changed assumptions. If every question resolves to one set of inputs, mark N/A. Borderline: a valuation reporting outputs at several statistics of one data set (25th percentile, median, mean, 75th percentile), or a model reporting the same result at several dates, is ONE run with several outputs rather than several scenarios - mark N/A, since presenting those outputs together is graded as part of the key-outputs requirement instead.",,,,,,,,,,87,92.33%,0.28%,,,,,,,,
89,Model Outputs & Executive Summary,Automated summary,1 = highly important,FALSE,50.00%,2.00%,The summary page should update automatically when inputs change; manual summaries go stale.,The summary updates automatically with any input change.,Summary values are hardcoded or copy-pasted rather than formula-linked; changing an input does not propagate to the summary.,Has the summary page been automated so that it updates automatically when the output values change?,"Automation means the summary updates live with any input change, so the reader always sees current numbers. Manual summaries go stale the moment an input changes and are a frequent source of presentation errors. An automated summary ensures the cover/outputs reflect current model state.",FALSE,N/A,,,,,,,,,,88,92.61%,0.28%,,,,,,,,
90,Potential Dangers,No hidden sheets,2 = important,FALSE,5.03%,0.40%,The file should be free of hidden or very hidden sheets. Any legitimate hidden sheet must be disclosed.,"No hidden or very hidden sheets, or any present are disclosed and justified.",Undisclosed hidden or very hidden sheets are present.,Is the file free of undisclosed hidden or very hidden sheets?,"Hidden sheets can hold important logic, sensitive data, or values the reader is unaware of, and 'very hidden' sheets do not even appear in the unhide dialog. Everything should be unhidden during review, and any sheet that legitimately stays hidden should be disclosed.",FALSE,N/A,,,,,,,,,,89,92.84%,0.23%,,,,,,,,
91,Potential Dangers,No hidden rows/columns,1 = highly important,FALSE,12.58%,1.01%,The file should be free of hidden rows or columns. Use grouping instead of hiding.,No hidden rows or columns; grouping is used where collapsing is needed.,Hidden rows or columns are present.,"Is the file free of hidden rows and columns, with grouping used where collapsing is needed?","Hidden rows and columns often contain calculations or inputs that the reader never sees, and a value can be hidden with no visual cue that anything is missing. Everything should be unhidden during review. Best practice is to avoid hiding altogether and use grouping instead, which collapses detail while leaving the outline markers visible.",FALSE,N/A,,,,,,,,,,90,93.07%,0.23%,,,,,,,,
92,Potential Dangers,No white-on-white hiding,2 = important,FALSE,5.03%,0.40%,"No content should be concealed by formatting - in particular white font on a white background, or a number format that renders a populated cell blank.",No content is concealed by white-on-white formatting or by a blanking number format.,Content is concealed via white-on-white formatting or a number format that hides the value.,Is the model free of content concealed by white-on-white formatting or blanking number formats?,"White font on a white background is a common way to conceal content, as is a custom number format such as ';;;' that renders a cell blank. Neither belongs in a delivered model - nothing should be hidden from the reader.",FALSE,N/A,,,,,,,,,,91,93.30%,0.23%,,,,,,,,
93,Potential Dangers,No external links,1 = highly important,TRUE,4.40%,0.35%,"The file should be free of external links to other workbooks (unless the case context requires them), as they can break when the linked file moves, cause #REF! errors, and hide dependencies.",No external links (unless required by the case context/stated in the instructions); the file is self-contained.,External links to other workbooks are present.,Is the file free of external links to other workbooks?,"External links (to other workbooks) can break when the linked file moves, cause #REF errors, and hide dependencies. Ideally, remove or replace with internal links.",FALSE,N/A,,,,,,,,,,92,93.52%,0.22%,,,,,,,,
94,Potential Dangers,Macros/VBA disclosed,2 = important,FALSE,5.03%,0.40%,"Any macros or VBA code must be disclosed, reviewed, and justified. Macros add complexity, security risk, and maintenance burden and should therefore be avoided.","No macros/VBA, or any present are disclosed, reviewed, and justified.",Undisclosed or unjustified macros/VBA are present.,"Is the file free of macros/VBA - or is any VBA present disclosed, reviewed, and justified?","Macros and VBA introduce complexity, security concerns, and maintenance burden, and can make the model unusable for a client whose IT policy blocks macro-enabled files. Their presence should be known, reviewed, and justified.",TRUE,"Applies: cases where the brief calls for, or plausibly warrants, macro or VBA automation - a custom user interface the client is meant to operate by button, batch operations across files or folders, a scripted iterative optimization loop, event-driven behavior, or a connection to an external system. Where the item applies, grade whether any code present is disclosed in visible documentation, reviewed and justified; a macro-free solution to such a case is a full pass, since native Excel is preferred wherever it will do the job. N/A: cases fully solvable with native formulas, tables, data validation, conditional formatting, Power Query, Goal Seek and iterative calculation, so macros have no legitimate role in the first place - effectively every standard financial-modeling case in this set. Mark N/A as well where the submission is produced by a system that cannot write macros into a workbook at all, since the item can then only ever be passed vacuously. How to tell from the starting file: take each required deliverable in turn and ask whether it is impossible without code. If none is, mark N/A. This is a scoping judgment about whether automation has a legitimate role in the CASE, not about what the submitted workbook happens to contain.",,,,,,,,,,93,93.74%,0.22%,,,,,,,,
95,Potential Dangers,VBA vs. native alternatives,3 = not absolutely crucial,FALSE,2.52%,0.20%,"Where VBA is present, evaluate whether it could be replaced by native Excel tools (e.g., array formulas instead of loops, data validation instead of custom dialogs). A file without VBA satisfies this item by default.","No VBA is present, or any VBA is genuinely necessary and not replaceable by native tools.",VBA is present and duplicates what native Excel tools could achieve.,"Where VBA is present, is it genuinely necessary rather than replaceable by native Excel functionality?","A large share of VBA in financial models substitutes for native Excel functionality - loops where SUMIFS or a formula would do, custom dialogs where data validation would do, button-driven copy-paste where a scenario switch would do. Each such case adds a dependency and a maintenance burden for no gain, so challenge whether the code is genuinely necessary before accepting it.",TRUE,"Applies: only where the case genuinely demands automation that native Excel cannot deliver - a custom user interface, batch operations across files or folders, a scripted iterative optimization loop, a connection to an external system, or event-driven behavior - so that the question 'could this have been done without code?' has real content. N/A: cases solvable end to end with native formulas, tables, data validation, conditional formatting, Power Query, Goal Seek and iterative calculation - effectively every standard financial-modeling case in this set. Mark N/A as well where the submission is produced by a system that cannot write macros into a workbook at all, since no code can then exist to assess. How to tell from the starting file: take each required deliverable in turn and ask whether it is impossible using native features. If none is, mark N/A. This is a scoping judgment about whether automation has a legitimate role in the CASE, not about what the submitted workbook happens to contain. Note: this item asks only whether code, if present, was NECESSARY - whether the same result was reachable with native features. Whether that code was disclosed and justified is a separate question and is not graded here.",,,,,,,,,,94,93.96%,0.22%,,,,,,,,
96,Potential Dangers,Consistent sign convention,0 = ultra important,FALSE,30.19%,2.42%,"A single sign convention (e.g., costs negative, revenues positive) must be applied consistently across the entire model, with particular attention to EBITDA add-backs, cash flow statement conventions, and income statement expense treatment.",Sign conventions are consistent across the model.,"The same economic item carries different signs depending on where it appears (e.g., D&A is negative on the income statement but also negative in the EBITDA reconciliation instead of being added back as positive).","Are +/- signs used consistently across the model? (cost normally negative in parentheses, revenues positive, …)","Consistent sign conventions (costs negative, revenues positive, cash outflows negative) across the model make it faster to review and understand. Pay particular attention to EBITDA reconciliation (D&A as positive add-back), the cash flow statement (investing/financing outflows as negative), and the income statement (expenses must be treated consistently - either all positive with subtraction operators, or all negative with SUM). Inconsistent sign conventions are a leading cause of double-counting and missed items in consolidations.",FALSE,N/A,,,,,,,,,,95,94.18%,0.22%,,,,,,,,
97,Potential Dangers,No errors under extreme-but-plausible inputs,0 = ultra important,FALSE,30.19%,2.42%,"The model should still work when key assumptions are changed substantially (e.g., useful life tripled, valuation date shifted 12 months, revenue halved). Stress-testing exposes hidden breaks, balance sheet imbalances, divide-by-zero errors, and broken roll-forwards.","The model produces sensible results under stress scenarios (e.g., revenue halved, useful life tripled, valuation date shifted). No Excel errors or balance-sheet imbalances emerge.","Under stress, the model breaks, produces balance sheet imbalances, throws Excel errors, or generates nonsensical results (e.g., negative useful life, or negative shares outstanding).","Does the model still work reliably if some of the key assumptions are changed substantially (e.g. useful life, valuation date, key operating assumptions)?","Stress-testing with extreme-but-plausible inputs (e.g., useful life 3x, valuation date shifted 12 months, revenue halved) exposes hidden formula breaks, balance sheet imbalances, divide-by-zero errors, negative cash that the revolver is not catching, and broken roll-forwards. If the model falls over or produces nonsense under stress, the build is not robust.",FALSE,N/A,,,,,,,,,,96,94.40%,0.22%,,,,,,,,
98,Potential Dangers,Automatic calculation mode,2 = important,FALSE,5.03%,0.40%,"The workbook should be delivered with calculation set to automatic - and, where intentional circularity requires it, with iterative calculation enabled and that requirement stated. Manual calculation mode means displayed values may not reflect the inputs currently shown.","Calculation is set to automatic, with iterative calculation enabled and documented where the model uses intentional circularity.","The workbook is saved in manual calculation mode without disclosure, so displayed values may be stale - or iterative calculation is required but not enabled.",Is the workbook set to automatic calculation (with iterative calculation enabled where circularity requires it)?,"A workbook saved in manual calculation mode displays whatever was last computed, which may bear no relation to the inputs currently shown: a reader can change an assumption and see nothing move. Manual mode is occasionally used deliberately in very heavy models, but then it must be disclosed prominently. Where the model relies on intentional circularity, iterative calculation must be enabled and the requirement stated, since the model returns errors on any machine where that setting is switched off.",FALSE,N/A,,,,,,,,,,97,94.62%,0.22%,,,,,,,,
99,Purpose & Scope,Structure fits purpose,0 = ultra important,FALSE,100.00%,2.00%,"The overall structure (calculation flow, number of worksheets, level of detail) should be appropriate for the model's stated purpose.","Structure is well-suited to the model's purpose: logical calculation flow, appropriate number of worksheets, and the right level of detail for the stated purpose.","Structure is inappropriate (illogical flow, too many or too few sheets, mismatched detail level).","Is the overall model structure appropriate for the model's purpose (e.g. consistent calculation flow, appropriate number of worksheets, sufficiently detailed)?","The overall structure - calculation flow, number of worksheets, level of detail - is a primary determinant of model quality, and a logical structure is what makes a model auditable, maintainable, and understandable.",FALSE,N/A,,,,,,,,,,98,94.84%,0.22%,,,,,,,,
100,Rounding,Full precision in intermediates,1 = highly important,FALSE,55.56%,0.56%,"Intermediate calculations must retain full precision; round only the final outputs presented to users. Display formatting (e.g., showing 0 decimals) is acceptable, as it does not change the underlying value. Rounding inside the model is legitimate only where the quantity is genuinely discrete (e.g., headcount, units sold, share counts) or where a contract or the case context specifies it.","Intermediate calculations retain full precision; rounding is applied only to outputs, to genuinely discrete quantities, or where the case context requires it.","Intermediate calculations are rounded without justification, compounding precision errors through the model.","Do intermediate calculations retain full precision, with rounding applied only to outputs or where genuinely justified?","Rounding intermediate calculations compounds precision errors through the model and is not standard practice: keep full precision internally and round only outputs. Display formatting (e.g., showing two decimal places) does not affect the underlying value and is always acceptable. Genuine exceptions exist - headcount, units, and share counts are discrete, and contractual terms may specify rounding - and these should be applied deliberately and labeled, not left implicit.",FALSE,N/A,,,,,,,,,,99,95.06%,0.22%,,,,,,,,
101,Rounding,Rounded outputs,2 = important,FALSE,22.22%,0.22%,Final outputs should be rounded to a sensible precision that communicates the appropriate level of certainty. (Rounding precision might be dictated for the questions),"Final outputs are rounded to a sensible, readable precision.","Final outputs show full, false precision.",Are final outputs rounded?,Outputs presented to users should be rounded to a sensible precision so they are readable and communicate the appropriate level of certainty.,FALSE,N/A,,,,,,,,,,100,95.27%,0.22%,,,,,,,,
102,Rounding,Rounding documented,2 = important,FALSE,22.22%,0.22%,"Rounding conventions should be documented in visible proximity to the rounded figure (e.g., '$ in millions, rounded to nearest $0.1m').",Rounding conventions are documented next to the rounded figures.,Rounding is undocumented or stated far from the figures.,Is the rounding of outputs documented clearly and in visible proximity to the rounded figure?,"Documenting rounding conventions near the rounded figures (e.g., '$ in millions, rounded') prevents readers from assuming false precision and is standard practice in client-facing deliverables.",FALSE,N/A,,,,,,,,,,101,95.49%,0.22%,,,,,,,,
103,Structure,Essential components present,1 = highly important,FALSE,4.95%,0.69%,"The model should include all essential components: cover page, table of contents, summary/dashboard, assumptions, scenarios (where applicable), calculation sheets, financial statements (where applicable), error-check sheet, and output data. Components should be scaled to the model's size and purpose; in a small model several may reasonably sit on fewer sheets, provided each function remains clearly delineated.","All essential components are present: cover, table of contents, summary, assumptions, scenarios (if applicable), calculations, statements (if applicable), error-check sheet, and outputs - or, in a small model, these functions are clearly delineated across fewer sheets.",One or more essential components are missing.,"Does the model include all essential components appropriate to its size and purpose (cover page, table of contents, summary, assumptions, scenarios, calculations, financial statements, error checks, and outputs)?","Every model needs its core building blocks: a cover page for context, a table of contents for navigation, an assumptions sheet for inputs, calculation sheets, scenarios where the analysis depends on uncertain drivers, financial statements where the model produces them, an error-check sheet, and an output summary for the audience. Missing components undermine completeness. In a small model several of these functions may reasonably share a sheet, provided each remains clearly delineated and labeled.",FALSE,N/A,,,,,,,,,,102,95.71%,0.22%,,,,,,,,
104,Structure,Cover sheet first,3 = not absolutely crucial,FALSE,0.99%,0.14%,"The cover sheet should be the first tab, setting context and orienting the user on opening - typically stating the model's title, purpose, owner, version, and date.","The cover sheet is the first tab and states the model's title, purpose, owner, version, and date.","The cover sheet is missing, is not the first tab, or omits basic identifying information.",Is the cover sheet the first tab of the workbook?,"A cover sheet as the first tab sets the context, describes the model's purpose, and orients the user immediately upon opening the file. It is the industry-standard first touchpoint.",TRUE,"Applies: cases implying a multi-sheet workbook, where a dedicated cover tab is the natural entry point and its position in the tab order is a real design choice. N/A: cases implying a genuinely single-sheet deliverable, where a titled header block at the top of that sheet does the same job and 'first tab' has no meaning. How to tell from the starting file: ask whether the case warrants separate input, calculation and output sheets - several schedules, linked statements, or a summary to present. If yes, apply. Note: this item governs placement only. The requirement that the model carry cover and title information somewhere - name, purpose, owner, version, date - is a separate check that stays in force for every model, so a build with no cover information anywhere is still penalized there even where this item is marked N/A.",,,,,,,,,,103,95.92%,0.22%,,,,,,,,
105,Structure,Timeline orientation,2 = important,FALSE,1.98%,0.28%,"Within calculation tabs, the timeline should run horizontally as standard - periods across columns, line items down rows - and be applied consistently. Period columns should align across tabs, so that a given column refers to the same period everywhere in the workbook (given no time period length shift). A vertical timeline (periods down rows) is acceptable where the tab's content justifies it, but should not be the default.","Timeline runs horizontally on all calculation tabs, with periods occupying identical columns across the workbook. Where a vertical orientation is used, it is justified by the content - typically a register or data table where each record needs several attribute columns (ID, currency, rate, source, flags) visible simultaneously, and the number of periods is small enough to scan without excessive scrolling. The choice is consistent within each tab, and the reason for any deviation is evident from the tab itself.","Orientation is mixed within a single tab, or varies across tabs with no rationale. Period columns are misaligned between tabs (e.g. Jan-24 sits in column H on one sheet and column K on another), creating link risk. A vertical timeline is used by default, forcing constant vertical scrolling to compare periods and breaking the copy-right formula convention. Alternatively, a horizontal timeline is forced onto a record-based table, pushing essential attribute columns off-screen.","Does the model use a consistent timeline orientation - horizontal as standard, with period columns aligned across tabs - and where a vertical orientation appears, is it justified by that tab's content?","A horizontal timeline - periods across columns, line items down rows - is the convention every reviewer expects, and it is what makes copying a formula rightwards across the timeline safe and predictable. Period columns should occupy the same columns on every tab, so a cross-sheet link cannot silently pick up the wrong period. A vertical timeline is acceptable where the tab's content justifies it - typically a register or data table where each record needs several attribute columns visible at once - but it should never be the default, and the reason should be evident from the tab itself.",TRUE,"Applies: any case that lays periods out across the model - forecasts, schedules, budgets, cash-flow, coupon or amortiztion schedules, and daily, monthly, quarterly or annual builds. N/A: cases with no time dimension - snapshot valuations, single-period calculations, static registers or comparable sets with no periodicity. How to tell from the starting file: is there a forecast horizon, a schedule, or a period-based deliverable? Note that a comparables table with a 'fiscal period' column per company is NOT a timeline - each row is a different entity's reporting date, not a period axis - so that case is N/A. Where applicable: the test covers both the choice of orientation (horizontal as standard) and its consistency across tabs, including whether a given column refers to the same period on every sheet.",,,,,,,,,,104,96.14%,0.22%,,,,,,,,
106,Structure,Vertical alignment of same-type data,2 = important,FALSE,1.98%,0.28%,"Columns and rows containing the same type of information should be aligned vertically across the sheet, with a logical flow in the alignment of different calculations.","Same-type columns and rows are aligned vertically, and the arrangement of different calculations follows a logical flow.",Similar information is misaligned vertically; the arrangement of calculations lacks a logical flow.,Are columns and rows of the same type of information aligned vertically with a logical flow?,"Vertical alignment of same-type data (e.g., all period columns at the same position, all unit columns in the same place) supports efficient scanning and cross-sheet formula construction. A logical flow makes the model intuitive to navigate.",FALSE,N/A,,,,,,,,,,105,96.36%,0.22%,,,,,,,,
